geometry,label,date,tile_number,id,location_id,image_dir
"[[[146.851468, -19.138148], [146.851427, -19.18442], [146.900127, -19.184453], [146.900155, -19.138181], [146.851468, -19.138148]]]",1,2019-02-05,44,sen12floods_s1_labels_0300_2019_02_05,300,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0300_2019_02_05
"[[[146.802782, -19.138102], [146.802727, -19.184374], [146.851427, -19.18442], [146.851468, -19.138148], [146.802782, -19.138102]]]",1,2019-02-05,43,sen12floods_s1_labels_0299_2019_02_05,299,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0299_2019_02_05
"[[[146.656437, -19.276701], [146.65634, -19.322972], [146.70508, -19.323057], [146.705163, -19.276786], [146.656437, -19.276701]]]",1,2019-02-05,51,sen12floods_s1_labels_51_2019_02_05,51,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_51_2019_02_05
"[[[146.85126, -19.369506], [146.851218, -19.415777], [146.899986, -19.41581], [146.900015, -19.369539], [146.85126, -19.369506]]]",1,2019-02-05,79,sen12floods_s1_labels_0335_2019_02_05,335,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0335_2019_02_05
"[[[146.6076, -19.322873], [146.607489, -19.369143], [146.656243, -19.369242], [146.65634, -19.322972], [146.6076, -19.322873]]]",1,2019-02-05,67,sen12floods_s1_labels_0323_2019_02_05,323,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0323_2019_02_05
"[[[146.754096, -19.138044], [146.754028, -19.184316], [146.802727, -19.184374], [146.802782, -19.138102], [146.754096, -19.138044]]]",1,2019-02-05,42,sen12floods_s1_labels_0298_2019_02_05,298,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0298_2019_02_05
"[[[146.900071, -19.276997], [146.900043, -19.323268], [146.948784, -19.323288], [146.948798, -19.277017], [146.900071, -19.276997]]]",1,2019-02-05,56,sen12floods_s1_labels_56_2019_02_05,56,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_56_2019_02_05
"[[[146.656725, -19.137888], [146.656629, -19.184159], [146.705328, -19.184244], [146.70541, -19.137972], [146.656725, -19.137888]]]",1,2019-02-05,40,sen12floods_s1_labels_0296_2019_02_05,296,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0296_2019_02_05
"[[[146.608039, -19.13779], [146.60793, -19.184062], [146.656629, -19.184159], [146.656725, -19.137888], [146.608039, -19.13779]]]",1,2019-02-05,39,sen12floods_s1_labels_0295_2019_02_05,295,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0295_2019_02_05
"[[[146.802506, -19.369459], [146.80245, -19.41573], [146.851218, -19.415777], [146.85126, -19.369506], [146.802506, -19.369459]]]",1,2019-02-05,78,sen12floods_s1_labels_0334_2019_02_05,334,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0334_2019_02_05
