geometry,label,date,tile_number,id,location_id,image_dir
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-07,-119,sen12floods_s1_labels_0137_2019_03_07,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_07
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-13,-119,sen12floods_s1_labels_0137_2019_03_13,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_13
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-14,-119,sen12floods_s1_labels_0137_2019_03_14,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_14
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-19,-119,sen12floods_s1_labels_0137_2019_03_19,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_19
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-20,-119,sen12floods_s1_labels_0137_2019_03_20,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_20
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-26,-119,sen12floods_s1_labels_0137_2019_03_26,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_26
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-31,-119,sen12floods_s1_labels_0137_2019_03_31,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_03_31
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-04-07,-119,sen12floods_s1_labels_0137_2019_04_07,137,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0137_2019_04_07
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-07,-118,sen12floods_s1_labels_0138_2019_03_07,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_07
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-13,-118,sen12floods_s1_labels_0138_2019_03_13,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_13
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-14,-118,sen12floods_s1_labels_0138_2019_03_14,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_14
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-19,-118,sen12floods_s1_labels_0138_2019_03_19,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_19
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-20,-118,sen12floods_s1_labels_0138_2019_03_20,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_20
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-26,-118,sen12floods_s1_labels_0138_2019_03_26,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_26
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-31,-118,sen12floods_s1_labels_0138_2019_03_31,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_03_31
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-04-07,-118,sen12floods_s1_labels_0138_2019_04_07,138,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0138_2019_04_07
"[[[34.290227, -15.487292], [34.290514, -15.533569], [34.338247, -15.533285], [34.337949, -15.487009], [34.290227, -15.487292]]]",1,2019-03-07,-117,sen12floods_s1_labels_0139_2019_03_07,139,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0139_2019_03_07
