geometry,label,date,tile_number,id,location_id,image_dir,raster_count
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-10,-119,sen12floods_s2_labels_0137_2019_03_10,137,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0137_2019_03_10,12
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-25,-119,sen12floods_s2_labels_0137_2019_03_25,137,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0137_2019_03_25,12
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-03-30,-119,sen12floods_s2_labels_0137_2019_03_30,137,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0137_2019_03_30,12
"[[[34.28994, -15.441015], [34.290227, -15.487292], [34.337949, -15.487009], [34.337651, -15.440732], [34.28994, -15.441015]]]",1,2019-04-09,-119,sen12floods_s2_labels_0137_2019_04_09,137,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0137_2019_04_09,12
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-10,-118,sen12floods_s2_labels_0138_2019_03_10,138,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0138_2019_03_10,12
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-25,-118,sen12floods_s2_labels_0138_2019_03_25,138,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0138_2019_03_25,12
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-03-30,-118,sen12floods_s2_labels_0138_2019_03_30,138,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0138_2019_03_30,12
"[[[34.242504, -15.487565], [34.242781, -15.533844], [34.290514, -15.533569], [34.290227, -15.487292], [34.242504, -15.487565]]]",1,2019-04-09,-118,sen12floods_s2_labels_0138_2019_04_09,138,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0138_2019_04_09,12
"[[[34.290227, -15.487292], [34.290514, -15.533569], [34.338247, -15.533285], [34.337949, -15.487009], [34.290227, -15.487292]]]",1,2019-03-10,-117,sen12floods_s2_labels_0139_2019_03_10,139,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0139_2019_03_10,12
"[[[34.290227, -15.487292], [34.290514, -15.533569], [34.338247, -15.533285], [34.337949, -15.487009], [34.290227, -15.487292]]]",1,2019-03-25,-117,sen12floods_s2_labels_0139_2019_03_25,139,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0139_2019_03_25,12
"[[[34.290227, -15.487292], [34.290514, -15.533569], [34.338247, -15.533285], [34.337949, -15.487009], [34.290227, -15.487292]]]",1,2019-03-30,-117,sen12floods_s2_labels_0139_2019_03_30,139,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0139_2019_03_30,12
"[[[34.290227, -15.487292], [34.290514, -15.533569], [34.338247, -15.533285], [34.337949, -15.487009], [34.290227, -15.487292]]]",1,2019-04-09,-117,sen12floods_s2_labels_0139_2019_04_09,139,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0139_2019_04_09,12
"[[[34.712523, -19.589079], [34.713013, -19.635328], [34.761825, -19.634857], [34.761321, -19.588609], [34.712523, -19.589079]]]",1,2019-03-12,-116,sen12floods_s2_labels_0140_2019_03_12,140,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0140_2019_03_12,12
"[[[34.712523, -19.589079], [34.713013, -19.635328], [34.761825, -19.634857], [34.761321, -19.588609], [34.712523, -19.589079]]]",1,2019-04-01,-116,sen12floods_s2_labels_0140_2019_04_01,140,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0140_2019_04_01,12
"[[[34.712523, -19.589079], [34.713013, -19.635328], [34.761825, -19.634857], [34.761321, -19.588609], [34.712523, -19.589079]]]",1,2019-04-06,-116,sen12floods_s2_labels_0140_2019_04_06,140,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0140_2019_04_06,12
"[[[34.712523, -19.589079], [34.713013, -19.635328], [34.761825, -19.634857], [34.761321, -19.588609], [34.712523, -19.589079]]]",1,2019-04-16,-116,sen12floods_s2_labels_0140_2019_04_16,140,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0140_2019_04_16,12
"[[[34.712523, -19.589079], [34.713013, -19.635328], [34.761825, -19.634857], [34.761321, -19.588609], [34.712523, -19.589079]]]",1,2019-04-21,-116,sen12floods_s2_labels_0140_2019_04_21,140,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0140_2019_04_21,12
"[[[34.761321, -19.588609], [34.761825, -19.634857], [34.810635, -19.634372], [34.810117, -19.588125], [34.761321, -19.588609]]]",1,2019-03-12,-115,sen12floods_s2_labels_0141_2019_03_12,141,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0141_2019_03_12,12
"[[[34.761321, -19.588609], [34.761825, -19.634857], [34.810635, -19.634372], [34.810117, -19.588125], [34.761321, -19.588609]]]",1,2019-04-01,-115,sen12floods_s2_labels_0141_2019_04_01,141,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0141_2019_04_01,12
"[[[34.761321, -19.588609], [34.761825, -19.634857], [34.810635, -19.634372], [34.810117, -19.588125], [34.761321, -19.588609]]]",1,2019-04-06,-115,sen12floods_s2_labels_0141_2019_04_06,141,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0141_2019_04_06,12
