geometry,label,date,tile_number,id,location_id,image_dir
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2018-12-18,1,sen12floods_s2_labels_0001_2018_12_18,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2018_12_18
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2018-12-23,1,sen12floods_s2_labels_0001_2018_12_23,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2018_12_23
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-02,1,sen12floods_s2_labels_0001_2019_01_02,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_01_02
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-12,1,sen12floods_s2_labels_0001_2019_01_12,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_01_12
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-17,1,sen12floods_s2_labels_0001_2019_01_17,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_01_17
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-22,1,sen12floods_s2_labels_0001_2019_01_22,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_01_22
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-27,1,sen12floods_s2_labels_0001_2019_01_27,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_01_27
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-02-01,1,sen12floods_s2_labels_0001_2019_02_01,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_02_01
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-02-06,1,sen12floods_s2_labels_0001_2019_02_06,0001,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0001_2019_02_06
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-15,4,sen12floods_s2_labels_0004_2018_12_15,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2018_12_15
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-17,4,sen12floods_s2_labels_0004_2018_12_17,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2018_12_17
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-20,4,sen12floods_s2_labels_0004_2018_12_20,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2018_12_20
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-22,4,sen12floods_s2_labels_0004_2018_12_22,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2018_12_22
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-30,4,sen12floods_s2_labels_0004_2018_12_30,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2018_12_30
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2019-01-04,4,sen12floods_s2_labels_0004_2019_01_04,0004,sen12flood/sen12floods_s2_source/sen12floods_s2_source//sen12floods_s2_source_0004_2019_01_04
